pdname(ID),brand,SSD.cp,HDD.cp,RAM.cp,CPU.brand,CPU.bench,core num,screen size,resolution,DDR,SSD.kind,GPU.brand,GPU.brand,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price
삼성전자 2019 노트북 Pen S NT950SBE-X716,13,2048,0,16,1,8942,4,15,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54,3,2561000
ASUS 비보북 X510UA-BQ491,3,256,0,4,1,7677,4,15.6,1,1,2,0,1057,0,1,3,0,1.5,19.4,1,42,0,559000
ASUS 비보북 X510UA-BQ491,3,256,0,8,1,7677,4,15.6,1,1,2,0,1057,0,1,3,0,1.5,19.4,1,42,0,647000
ASUS TUF FX505DT-BQ155,3,256,0,8,0,8987,4,15.6,1,1,3,2,7841,4,1,2,0,2.2,26,0,48,0,899000
APPLE 맥북프로 2019년형 MV962KH/A,2,256,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58,1,1909000
한성컴퓨터 TFG257W,17,512,0,16,1,12454,6,15.6,1,1,3,2,11398,16,1,3,0,2,23,1,46.74,3,1971000
MSI 프레스티지 P65 크리에이터 8RD,9,256,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82,0,1170000
MSI 프레스티지 P65 크리에이터 8RD,9,512,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82,0,1285000
MSI 프레스티지 P65 크리에이터 8RD,9,1024,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82,0,1398000
MSI 프레스티지 P65 크리에이터 8RD,9,256,0,16,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82,0,1289000
MSI 프레스티지 P65 크리에이터 8RD,9,512,0,16,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82,0,1537000
삼성전자 2019 노트북9 Always NT950XBV-G58A,13,256,0,8,1,7989,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,0,1227000
삼성전자 2019 노트북9 Always NT950XBV-G58A,13,512,0,8,1,7989,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,0,1275000
삼성전자 2019 노트북9 Always NT950XBV-G58A,13,1024,0,8,1,7989,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,0,1360000
삼성전자 2019 노트북9 Always NT950XBV-G58A,13,2048,0,8,1,7989,4,15,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75,0,1803000
LG전자 2019 그램 15ZD990-GX30K,8,128,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72,0,1042000
LG전자 2019 그램 15ZD990-GX30K,8,256,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72,0,1067000
LG전자 2019 그램 15ZD990-GX30K,8,512,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72,0,1159000
LG전자 2019 그램 15ZD990-GX30K,8,1024,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72,0,1194000
삼성전자 노트북7 NT730XBV-A58A,13,256,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55,2,900000
삼성전자 노트북7 NT730XBV-A58A,13,512,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55,2,1070000
삼성전자 노트북7 NT730XBV-A58A,13,1024,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55,2,1198000
레노버 아이디어패드 S145-15 CORE i CLASS,12,256,0,8,1,7989,4,15.6,1,1,3,0,1057,0,1,2,0,1.76,19,1,53.1,0,564000
Razer BLADE 15 Advanced 9Gen R80,11,512,0,16,1,13723,6,15.6,1,1,3,2,12977,8,1,3,0,2.15,17.8,0,80,3,3990000
HP 파빌리온 15-cs2084TX,6,256,0,8,1,7989,4,15.6,1,1,3,2,2629,2,1,2,0,1.85,17.9,0,41,0,749000
삼성전자 2019 노트북9 Always NT950XBV-A58A,13,256,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,2,1072000
삼성전자 2019 노트북9 Always NT950XBV-A58A,13,512,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,2,1161000
삼성전자 2019 노트북9 Always NT950XBV-A58A,13,1024,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,2,1260000
삼성전자 2019 노트북9 Always NT950XBV-A58A,13,2048,0,8,1,7989,4,15,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75,2,1764000
ASUS TUF FX505GM-BQ234,3,0,1024,8,1,12454,6,15.6,1,1,0,2,9096,6,1,2,0,2.2,26,0,48,0,1038000
ASUS TUF FX505GM-BQ234,3,128,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26,0,48,0,1105000
ASUS TUF FX505GM-BQ234,3,256,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26,0,48,0,1123000
ASUS TUF FX505GM-BQ234,3,512,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26,0,48,0,1210000
ASUS TUF FX505GM-BQ234,3,0,1024,8,1,12454,6,15.6,1,1,0,2,9096,6,1,2,0,2.2,26,0,48,0,1026230
한성컴퓨터 언더케이지 TFX245W,17,512,0,8,1,7989,4,14,1,1,3,2,2629,2,1,3,0,1.08,16.8,0,47,3,918000
삼성전자 2019 노트북 Pen S NT950SBV-A58A,13,256,0,8,1,7989,4,15,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54,2,1295000
삼성전자 2019 노트북 Pen S NT950SBV-A58A,13,512,0,8,1,7989,4,15,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54,2,1383000
삼성전자 2019 노트북 Pen S NT950SBV-A58A,13,1024,0,8,1,7989,4,15,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54,2,1475000
삼성전자 2019 노트북 Pen S NT950SBV-A58A,13,2048,0,8,1,7989,4,15,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54,2,2431000
LG전자 2019 그램 15Z990-VA5IK,8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,0,1.09,16.8,1,72,3,1479000
삼성전자 노트북3 NT340XAZ-AD1A WIN10,13,0,512,4,1,1898,2,14,0,1,0,0,717,0,1,2,0,1.66,19.8,0,43,3,375000
레노버 아이디어패드 S145-15IWL CEP WIN10,12,128,0,4,1,3194,2,15.6,1,1,1,0,779,0,1,2,0,1.76,19.9,1,53.1,3,427000
레노버 아이디어패드 S145-15IWL CEP WIN10,12,256,0,8,1,3194,2,15.6,1,1,1,0,779,0,1,2,0,1.76,19.9,1,53.1,3,515000
삼성전자 2018 노트북 Pen NT930QAA-K716A,13,256,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1,16.5,1,39,3,1396000
삼성전자 2018 노트북 Pen NT930QAA-K716A,13,512,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1,16.5,1,39,3,1528000
