brand,SSD.cp,HDD.cp,RAM.cp,CPU.com,CPU.av,core num,screen size,resolution,DDR,SSD.kind,GPU.com,GPU.av,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price,buble
13,2048,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,1541000,0.0
13,128,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,599000,2.0
13,256,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,641000,1.0
13,512,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,808000,0.0
13,1024,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,901000,2.0
13,2048,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,1320000,2.0
0,128,0,4,0,8148,4,15.6,1,1,3,1,1736,0,1,2,0,1.72,19.0,0,36.0,0,413000,2.0
9,256,0,8,1,13723,6,17.3,1,1,3,2,11472,6,1,3,0,2.6,29.0,1,51.0,0,1399000,2.0
9,128,0,8,1,12454,6,15.6,1,1,2,2,9096,6,1,3,0,2.2,29.0,1,51.0,0,1062000,2.0
9,256,0,8,1,12454,6,15.6,1,1,2,2,9096,6,1,3,0,2.2,29.0,1,51.0,0,1132000,2.0
9,128,1024,8,1,12454,6,15.6,1,1,2,2,9096,6,1,3,0,2.2,29.0,1,51.0,0,1222000,0.0
9,128,512,8,1,12454,6,15.6,1,1,2,2,9096,6,1,3,0,2.2,29.0,1,51.0,0,1162000,1.0
9,128,1024,8,1,12454,6,15.6,1,1,2,2,9096,6,1,3,0,2.2,29.0,1,51.0,0,1159000,2.0
13,256,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,1891000,2.0
13,512,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2035000,1.0
13,1024,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2132000,2.0
13,2048,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2520000,2.0
