price,my_predict,difference
1095370,1095100.0,270.0
985000,985049.0,-49.0
1153000,1153158.0,-158.0
1190000,1189700.0,300.0
728000,727600.0,400.0
1190000,1190100.0,-100.0
1130000,1129600.0,400.0
625000,624300.0,700.0
2099000,2100400.0,-1400.0
834000,830900.0,3100.0
1452000,1452504.0,-504.0
812000,814200.0,-2200.0
1517000,1514400.0,2600.0
1290000,1290300.0,-300.0
1256000,1255500.0,500.0
820000,818600.0,1400.0
1348000,1347300.0,700.0
770000,770199.0,-199.0
349000,348700.0,300.0
1230000,1229800.0,200.0
1195000,1195000.0,0.0
1297000,1297047.0,-47.0
655000,655500.0,-500.0
740000,739400.0,600.0
892000,891600.0,400.0
684000,685300.0,-1300.0
1379320,1379500.0,-180.0
1312960,1313400.0,-440.0
1107000,1105103.0,1897.0
489000,488360.0,640.0
1078000,1078106.0,-106.0
1051570,1053200.0,-1630.0
900000,899800.0,200.0
988000,987700.0,300.0
515000,515400.0,-400.0
1649000,1648600.0,400.0
1220000,1220200.0,-200.0
1418000,1420000.0,-2000.0
1172990,1173400.0,-410.0
1222000,1222100.0,-100.0
1107000,1104400.0,2600.0
3990000,3899700.0,90300.0
1816000,1811000.0,5000.0
1169000,1169536.0,-536.0
2273000,2279900.0,-6900.0
189000,250836.0,-61836.0
2415000,2414452.0,548.0
481000,483200.0,-2200.0
963000,962800.0,200.0
1568000,1567050.0,950.0
594000,591840.0,2160.0
3045000,3039100.0,5900.0
1000000,1000400.0,-400.0
1583000,1582266.0,734.0
1523000,1521800.0,1200.0
529000,528300.0,700.0
977000,976987.0,13.0
949000,948980.0,20.0
1548000,1546100.0,1900.0
1274000,1273904.0,96.0
1599000,1600300.0,-1300.0
1989000,1987100.0,1900.0
928000,928724.0,-724.0
1107000,1104500.0,2500.0
1039000,1037800.0,1200.0
2240000,2239498.0,502.0
588000,589200.0,-1200.0
1576000,1576200.0,-200.0
331000,333600.0,-2600.0
980000,980200.0,-200.0
1720000,1721200.0,-1200.0
2432000,2446175.0,-14175.0
1328980,1329000.0,-20.0
1545000,1545300.0,-300.0
816000,814400.0,1600.0
849000,849100.0,-100.0
1289000,1288500.0,500.0
1230000,1231000.0,-1000.0
1150000,1148600.0,1400.0
1290000,1290000.0,0.0
1400000,1400000.0,0.0
884000,883652.0,348.0
1489000,1488399.0,601.0
1190000,1189700.0,300.0
1604000,1602500.0,1500.0
1532000,1533626.0,-1626.0
1297200,1297247.0,-47.0
1216000,1215699.0,301.0
2422000,2419176.0,2824.0
1345000,1345300.0,-300.0
1225000,1224800.0,200.0
1053730,1053862.0,-132.0
1210000,1210000.0,0.0
2169000,2169900.0,-900.0
1216000,1214897.0,1103.0
2099000,2100600.0,-1600.0
1185000,1185100.0,-100.0
319000,316100.0,2900.0
1157000,1157240.0,-240.0
887000,888100.0,-1100.0
1687000,1686600.0,400.0
941000,940500.0,500.0
600000,598000.0,2000.0
268000,286459.0,-18459.0
1613000,1614412.0,-1412.0
1179000,1178700.0,300.0
1519000,1519000.0,0.0
565000,564600.0,400.0
